facility_id,facility_name,lga_name_source,latitude,longitude,facility_ownership,facility_purpose,facility_category,n_sports,sports_played,suburb_town,field_surface_type,n_fields_courts,LGA_CODE,LGA_NAME
ALPINE10916,Bright Skate Park (lions Park),Alpine Shire Council,-36.728932,146.970354,NA,NA,NA,1,Skating,BRIGHT,Concrete,1,300,ALPINE
ALPINE10917,Bright Bowls Club,Alpine Shire Council,-36.731007,146.969729,NA,NA,NA,1,Lawn Bowls,BRIGHT,Grass,2,300,ALPINE
ALPINE10918,Bright p-12 College,Alpine Shire Council,-36.733701,146.962508,NA,NA,NA,2,Cricket; Soccer,BRIGHT,Grass; Synthetic Pitch,2,300,ALPINE
ALPINE10919,Bright Community Sports Stadium,Alpine Shire Council,-36.733294,146.963623,NA,NA,NA,1,Basketball,BRIGHT,Wooden Gymnasium,2,300,ALPINE
ALPINE10920,Bright Sports Centre,Alpine Shire Council,-36.728695,146.958053,NA,NA,NA,2,Fitness / Gymnasium Workouts; Squash / Racquetball,BRIGHT,Wooden Flooring,2,300,ALPINE
ALPINE10921,Bright Golf Club,Alpine Shire Council,-36.711338,146.935086,NA,NA,NA,1,Golf,BRIGHT,18 Hole Course - Public,1,300,ALPINE
ALPINE10922,Dederang Golf Course,Alpine Shire Council,-36.478094,147.02098,NA,NA,NA,1,Golf,DEDERANG,9 Hole Course - Public,1,300,ALPINE
ALPINE10923,Dederang Bowls Club,Alpine Shire Council,-36.476276,147.021519,NA,NA,NA,1,Lawn Bowls,DEDERANG,Grass,1,300,ALPINE
ALPINE10924,Dederang Recreation reserve,Alpine Shire Council,-36.475264,147.020525,NA,NA,NA,4,Australian Rules Football; Cricket; Netball; Tennis (Outdoor),DEDERANG,Asphalt; Grass; Turf Pitch,4,300,ALPINE
ALPINE10925,Gapsted Recreation reserve,Alpine Shire Council,-36.505019,146.676961,NA,NA,NA,1,Cricket,GAPSTED,Synthetic Pitch,1,300,ALPINE
ALPINE10926,Gundowring Recreation reserve,Alpine Shire Council,-36.422159,147.061754,NA,NA,NA,1,Tennis (Outdoor),GUNDOWRING,Asphalt,2,300,ALPINE
