LGA_NAME,obesity_percent,distress_percent,poor_health_percent
ALPINE,20.7716,14.43222,16.69354
ARARAT,27.84888,21.25872,28.27376
BALLARAT,29.91438,22.29075,29.91542
BANYULE,17.52188,14.35028,16.64573
BASS COAST,23.39964,17.31397,20.43266
BAW BAW,30.96598,25.84553,25.65458
BAYSIDE,15.66363,12.38499,13.21696
BENALLA,28.75451,25.07706,24.73859
BOROONDARA,14.88135,12.53239,17.33462
BRIMBANK,23.74201,27.3361,29.27828
BULOKE,33.52466,21.09668,27.77035
CAMPASPE,30.28466,23.92008,30.12056
CARDINIA,28.81839,22.11458,23.89445
CASEY,27.54056,17.38087,21.19326
CENTRAL GOLDFIELDS,27.36443,26.69014,28.66168
COLAC OTWAY,28.25422,25.24599,27.61592
CORANGAMITE,25.7764,13.56679,20.47217
DAREBIN,16.14822,20.05998,17.9108
EAST GIPPSLAND,29.14141,24.035520000000002,21.72098
FRANKSTON,29.0915,29.00732,33.24782
GANNAWARRA,32.07694,16.74217,23.74572
GLEN EIRA,17.50095,17.09113,19.46071
GLENELG,32.14722,21.208,24.69433
GOLDEN PLAINS,28.47319,17.67753,20.78233
GREATER BENDIGO,28.25805,20.51177,21.64668
GREATER DANDENONG,16.81916,19.97977,16.89043
GREATER GEELONG,20.50368,19.89143,16.83441
GREATER SHEPPARTON,32.0457,20.3812,25.32686
HEPBURN,19.27036,25.78002,23.56499
HINDMARSH,33.52912,20.69437,21.85244
HOBSONS BAY,24.6139,18.62893,15.24669
HORSHAM,33.27866,15.83188,22.07688
HUME,23.61466,20.69704,24.34447
INDIGO,27.97514,14.13316,17.52685
KINGSTON,19.51075,18.95076,17.62662
KNOX,27.82274,16.54112,22.89458
LATROBE,31.06885,22.47706,23.14245
LODDON,30.08357,20.38296,27.11284
MACEDON RANGES,22.42825,18.1535,19.30687
MANNINGHAM,13.63326,17.07014,16.85493
MANSFIELD,24.28241,16.69293,16.05289
MARIBYRNONG,17.26595,20.87644,24.90457
MAROONDAH,23.30881,21.78541,24.52022
MELBOURNE,9.711417,17.59906,13.71632
MELTON,31.77384,20.92812,24.33294
MERRI BEK,18.60586,19.60897,16.08608
MILDURA,25.26724,21.03761,25.10488
MITCHELL,32.47441,22.535520000000002,25.4059
MOIRA,28.96927,22.31901,29.75534
MONASH,16.35567,15.85026,18.64586
MOONEE VALLEY,20.3368,18.35339,21.2223
MOORABOOL,30.02795,23.94363,21.71901
MORNINGTON PENINSULA,22.03655,17.12186,18.32488
MOUNT ALEXANDER,17.92036,22.61692,15.9079
MOYNE,28.17506,18.22116,18.39422
MURRINDINDI,24.44909,24.63603,24.68803
NILLUMBIK,17.96047,17.00954,16.14575
NORTHERN GRAMPIANS,28.55447,26.98871,21.54728
PORT PHILLIP,15.76421,16.94391,15.21608
PYRENEES,35.27755,25.86788,30.05828
QUEENSCLIFFE,18.71298,8.746275,17.17072
SOUTH GIPPSLAND,26.05232,16.4153,21.92006
SOUTHERN GRAMPIANS,29.37766,14.45296,20.48549
STONNINGTON,10.79463,15.99774,14.87487
STRATHBOGIE,24.79117,18.58761,24.70438
SURF COAST,16.74595,18.18557,14.6362
SWAN HILL,31.96485,17.63981,19.44236
TOWONG,24.88625,12.85225,16.97095
WANGARATTA,28.49981,20.09407,20.06109
WARRNAMBOOL,33.2011,16.62141,22.99
WELLINGTON,33.98697,20.79966,21.70235
WEST WIMMERA,30.40285,20.98537,23.76601
WHITEHORSE,17.81008,15.76849,18.52406
WHITTLESEA,23.12325,23.1942,24.34639
WODONGA,31.83004,27.17279,27.43943
WYNDHAM,29.61286,21.43474,23.49015
YARRA,11.83493,15.79424,16.65669
YARRA RANGES,22.27578,27.17568,20.9498
YARRIAMBIACK,34.04812,21.87287,24.44861
