LGA_CODE,LGA_NAME,park_count,park_area_sqm,park_area_hectares
300,ALPINE,21,1595538786.673213,159553.8786673213
301,ARARAT,52,436494880.00909275,43649.488000909274
302,BALLARAT,12,39152383.59214753,3915.238359214753
303,BANYULE,1,2909079.0656712055,290.90790656712056
304,BASS COAST,28,38900349.14032721,3890.0349140327207
305,BAW BAW,37,262582845.11741257,26258.284511741258
306,BAYSIDE,0,0,0
381,BENALLA,43,178552458.74778897,17855.245874778895
307,BOROONDARA,0,1195071.8033845918,119.50718033845918
308,BRIMBANK,3,4526109.650514597,452.6109650514597
309,BULOKE,94,60335535.011235505,6033.553501123551
310,CAMPASPE,29,85538646.69329165,8553.864669329165
311,CARDINIA,30,149770190.40577993,14977.019040577992
312,CASEY,7,12694541.241570158,1269.4541241570157
313,CENTRAL GOLDFIELDS,50,31726351.42193706,3172.635142193706
314,COLAC OTWAY,49,1131430331.9788265,113143.03319788266
315,CORANGAMITE,37,416803729.5409594,41680.37295409594
316,DAREBIN,0,0,0
319,EAST GIPPSLAND,91,5839186017.386102,583918.6017386102
386,FALLS CREEK ALPINE RESORT (UNINC),0,4289.289405599309,0.4289289405599309
320,FRANKSTON,4,324155.60145695414,32.415560145695416
379,FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC),2,103194643.09519628,10319.464309519628
389,GABO ISLAND (UNINC),0,0,0
321,GANNAWARRA,25,109922416.04073949,10992.24160407395
322,GLEN EIRA,0,0,0
323,GLENELG,80,762082043.8539727,76208.20438539727
324,GOLDEN PLAINS,30,78762080.19308272,7876.208019308272
325,GREATER BENDIGO,74,384838336.5873115,38483.83365873115
326,GREATER DANDENONG,0,413.0201409655897,0.04130201409655897
327,GREATER GEELONG,14,59342367.22997377,5934.236722997377
328,GREATER SHEPPARTON,28,83725464.45274918,8372.546445274918
329,HEPBURN,49,168812892.67556438,16881.289267556436
330,HINDMARSH,49,2515833684.2806144,251583.36842806143
331,HOBSONS BAY,2,1788499.0580888249,178.84990580888248
332,HORSHAM,32,219513815.55372927,21951.381555372926
333,HUME,3,1029241.1782250903,102.92411782250903
334,INDIGO,57,220449698.812023,22044.9698812023
335,KINGSTON,3,4373598.347580086,437.3598347580086
336,KNOX,2,11188214.137831436,1118.8214137831437
385,LAKE MOUNTAIN ALPINE RESORT (UNINC),0,10127.958816710234,1.0127958816710234
337,LATROBE,7,25284881.302847173,2528.4881302847175
338,LODDON,79,176566707.47840285,17656.670747840286
339,MACEDON RANGES,33,132043104.91736402,13204.310491736402
340,MANNINGHAM,4,12618447.947425416,1261.8447947425416
382,MANSFIELD,14,523099071.3014777,52309.90713014777
341,MARIBYRNONG,1,650775.6454160751,65.07756454160752
342,MAROONDAH,0,16058.915472437628,1.6058915472437627
343,MELBOURNE,0,0,0
344,MELTON,6,8216944.341255756,821.6944341255756
351,MERRI-BEK,0,0,0
345,MILDURA,155,9676763193.174377,967676.3193174377
346,MITCHELL,35,82780601.68323812,8278.060168323811
347,MOIRA,49,393326811.2057274,39332.68112057274
348,MONASH,0,2194694.051227659,219.4694051227659
349,MOONEE VALLEY,2,1062809.3038766365,106.28093038766366
350,MOORABOOL,17,285741173.5714474,28574.117357144736
352,MORNINGTON PENINSULA,34,58270841.70255286,5827.084170255286
353,MOUNT ALEXANDER,46,77446995.18445797,7744.699518445797
383,MOUNT BAW BAW ALPINE RESORT (UNINC),0,878.4080105079338,0.08784080105079338
384,MOUNT BULLER ALPINE RESORT (UNINC),0,3821.842774748802,0.3821842774748802
388,MOUNT HOTHAM ALPINE RESORT (UNINC),0,9951.08753410986,0.995108753410986
387,MOUNT STIRLING ALPINE RESORT (UNINC),0,0,0
354,MOYNE,25,87613783.00797832,8761.378300797833
355,MURRINDINDI,49,317553849.6069402,31755.38496069402
356,NILLUMBIK,19,67902194.43284754,6790.219443284755
357,NORTHERN GRAMPIANS,119,880184187.2329677,88018.41872329677
358,PORT PHILLIP,0,0,0
359,PYRENEES,53,69369882.2127699,6936.98822127699
360,QUEENSCLIFFE,1,36110.66230996251,3.6110662309962507
361,SOUTH GIPPSLAND,43,581535255.9735941,58153.52559735941
362,SOUTHERN GRAMPIANS,21,690196936.9032243,69019.69369032244
363,STONNINGTON,0,0,0
364,STRATHBOGIE,54,93135274.91789433,9313.527491789433
365,SURF COAST,25,401754640.56111485,40175.46405611149
366,SWAN HILL,77,146963602.64159766,14696.360264159766
367,TOWONG,27,1406203130.9342058,140620.31309342058
368,WANGARATTA,53,558263826.3707408,55826.38263707408
369,WARRNAMBOOL,1,645202.4722779902,64.52024722779902
370,WELLINGTON,82,2581732944.726562,258173.2944726562
371,WEST WIMMERA,111,1432314441.6022067,143231.44416022068
372,WHITEHORSE,4,924800.9426093445,92.48009426093445
373,WHITTLESEA,7,51070445.32354787,5107.044532354787
374,WODONGA,7,33070025.827398956,3307.0025827398954
375,WYNDHAM,5,12668029.565946875,1266.8029565946874
376,YARRA,2,1260290.7798376484,126.02907798376484
377,YARRA RANGES,75,831261313.5656114,83126.13135656113
378,YARRIAMBIACK,64,513392846.18356717,51339.284618356716
