facility_id,facilty_sport_played_id,facility_name,lga_name_source,latitude,longitude,facility_ownership,facility_purpose,facility_category,sports_played,number_of_field_courts,suburb_town,field_surface_type,LGA_CODE,LGA_NAME
MITCHE3674,24664,Vermont South Club,NA,-37.851683,145.180228,NA,NA,NA,NA,NA,BRIGHT,NA,372,WHITEHORSE
MITCHE3674,24662,Vermont South Club,NA,-37.851683,145.180228,NA,NA,NA,Australian Rules Football,1,BRIGHT,Grass,372,WHITEHORSE
MITCHE3674,24663,Vermont South Club,NA,-37.851683,145.180228,NA,NA,NA,Cricket,1,BRIGHT,Synthetic Pitch,372,WHITEHORSE
MITCHE3674,24665,Vermont South Club,NA,-37.851683,145.180228,NA,NA,NA,Netball,1,BRIGHT,Asphalt,372,WHITEHORSE
MITCHE3674,24666,Vermont South Club,NA,-37.851683,145.180228,NA,NA,NA,Tennis (Outdoor),4,BRIGHT,Artificial Turf,372,WHITEHORSE
ALPINE5519,27869,Pioneer Park Recreation Reserve,Alpine Shire Council,-36.737199,146.973353,NA,NA,NA,NA,NA,BRIGHT,NA,300,ALPINE
ALPINE10930,24692,Mount Beauty Pool & Stadium,Alpine Shire Council,-36.740988,147.168502,NA,NA,NA,Aerobics,1,MOUNT BEAUTY,NA,300,ALPINE
ALPINE10928,24684,Mount Beauty recreation Reserve,Alpine Shire Council,-36.739256,147.172162,NA,NA,NA,Athletics,1,MOUNT BEAUTY,Grass Running Track,300,ALPINE
ALPINE10924,24677,Dederang Recreation reserve,Alpine Shire Council,-36.475264,147.020525,NA,NA,NA,Australian Rules Football,1,DEDERANG,Grass,300,ALPINE
ALPINE10928,24685,Mount Beauty recreation Reserve,Alpine Shire Council,-36.739256,147.172162,NA,NA,NA,Australian Rules Football,1,MOUNT BEAUTY,Grass,300,ALPINE
ALPINE5519,27853,Pioneer Park Recreation Reserve,Alpine Shire Council,-36.737199,146.973353,NA,NA,NA,Australian Rules Football,1,BRIGHT,Grass,300,ALPINE
ALPINE10932,24702,RC McNamara Reserve,Alpine Shire Council,-36.567524,146.723777,NA,NA,NA,Australian Rules Football,1,MYRTLEFORD,Grass,300,ALPINE
ALPINE10930,24693,Mount Beauty Pool & Stadium,Alpine Shire Council,-36.740988,147.168502,NA,NA,NA,Badminton,1,MOUNT BEAUTY,Wooden Gymnasium,300,ALPINE
ALPINE10942,24719,Porepunkah Recreation Reserve,Alpine Shire Council,-36.698109,146.910729,NA,NA,NA,Baseball,1,POREPUNKAH,Grass,300,ALPINE
ALPINE10919,24671,Bright Community Sports Stadium,Alpine Shire Council,-36.733294,146.963623,NA,NA,NA,Basketball,2,BRIGHT,Wooden Gymnasium,300,ALPINE
ALPINE10930,24694,Mount Beauty Pool & Stadium,Alpine Shire Council,-36.740988,147.168502,NA,NA,NA,Basketball,1,MOUNT BEAUTY,Wooden Gymnasium,300,ALPINE
